id,years_active,years_plus,gdppc,colony_bool,prim_meth,sec_defect,regime_support,repression,camp_support,camp_size,sdirect,indiscrim,cold_war,pi_education,pi_soc_welfare,pi_trad_media,pi_new_media,pi_police,pi_armed_wing,pi_courts,pi_pol_party,any_pi,in_media,failure,success
25,9,10,10721.0082,1,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0
25,10,11,9944.9527,1,0,0,0,3,0,3,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0
25,11,12,10386.499100000001,1,0,0,0,3,1,3,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0
25,12,13,11030.3432,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0
25,13,14,11510.8774,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
25,14,15,11894.2028,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
25,15,16,12613.3961,1,0,0,0,3,1,3,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1
26,1,2,7667,1,0,0,1,3,NA,4,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
26,2,3,7992,1,0,0,1,3,0,3,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
26,3,4,8024,1,0,0,1,3,0,4,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
26,4,5,8325,1,0,0,1,3,NA,3,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
26,5,6,8721,1,0,1,1,3,1,1,1,1,1,0,0,1,1,0,0,0,1,1,2,0,0
26,6,7,9199,1,0,1,1,3,1,3,1,1,1,0,0,1,1,0,0,0,1,1,2,0,0
26,7,8,10005,1,0,NA,1,3,1,2,1,1,1,0,0,1,1,0,0,0,1,1,2,0,1
28,1,2,5510,1,1,1,1,3,1,2,0,1,1,0,0,0,0,0,0,1,1,1,2,1,0
29,1,2,5851.2955,1,0,0,0,3,0,NA,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
29,2,3,6055.8485,1,0,1,NA,3,NA,NA,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0
29,3,4,5203.5794,1,0,1,NA,3,NA,4,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1
30,1,2,11742.1281,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
30,2,3,12180.7114,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1
31,1,2,1653,1,1,1,0,3,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
31,2,3,1562,1,1,1,0,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
31,3,4,1505,1,1,1,0,3,1,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
31,4,5,1568,1,1,1,1,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
31,5,6,1510,1,1,0,1,3,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
31,6,7,1423,1,1,0,1,3,0,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
31,7,8,1471,1,1,0,1,3,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
31,8,9,1521,1,1,0,1,3,1,2,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
31,9,10,1415,1,1,0,1,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
31,10,11,1471,1,1,0,1,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
31,11,12,1400,1,1,0,1,3,1,2,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
32,1,2,11633,1,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,1,2,13236,1,0,0,1,3,0,2,1,1,1,0,0,1,0,0,0,1,0,1,2,0,0
33,2,3,12444,1,0,0,1,3,0,NA,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
33,3,4,13114,1,0,0,1,3,0,NA,1,1,1,1,0,1,1,1,0,1,0,1,2,0,0
